Id,P_D1S1,P_D1S2,P_D1S3,P_D2S1,P_D2S2,P_D2S3,P_D3S1,P_D3S2,P_D3S3,P_D4S1,P_D4S2,P_D4S3,P_D5S1,P_D5S2,P_D5S3,P_D6S1,P_D6S2,P_D6S3,P_D7S1,P_D7S2,P_D7S3,FR_D1S1,FR_D1S2,FR_D1S3,FR_D2S1,FR_D2S2,FR_D2S3,FR_D3S1,FR_D3S2,FR_D3S3,FR_D4S1,FR_D4S2,FR_D4S3,FR_D5S1,FR_D5S2,FR_D5S3,FR_D6S1,FR_D6S2,FR_D6S3,FR_D7S1,FR_D7S2,FR_D7S3,S_D1S1,S_D1S2,S_D1S3,S_D2S1,S_D2S2,S_D2S3,S_D3S1,S_D3S2,S_D3S3,S_D4S1,S_D4S2,S_D4S3,S_D5S1,S_D5S2,S_D5S3,S_D6S1,S_D6S2,S_D6S3,S_D7S1,S_D7S2,S_D7S3,worker_fitness,mismatchWorkerRequirments,mismatchFirmRequirmments
0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,75,220,75
1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,95,220,75
2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,75,220,75
3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,40,220,75
4,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,80,220,75
5,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,90,220,75
6,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,75,220,75
7,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,90,220,75
8,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,80,220,75
9,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,9,6,6,7,5,8,5,8,5,7,9,9,6,7,7,6,9,8,9,8,7,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,50,220,75
